epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,11091.7,1.13114,0.69546,0.00725,0.70897,0.70527,0.73246,0.47167,1.22028,1.00401,0.01018,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,11251.7,1.12659,0.68783,0.00721,0.73323,0.69281,0.73563,0.47273,1.22099,1.00526,0.01016,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,11409.8,1.12468,0.68623,0.00714,0.74504,0.68795,0.73508,0.47224,1.22159,1.00593,0.01019,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,11568.8,1.12076,0.68329,0.00712,0.70366,0.72264,0.73573,0.47315,1.22021,1.00803,0.01019,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,11728.9,1.10889,0.67928,0.00706,0.70068,0.72549,0.73463,0.47253,1.22028,1.01048,0.01019,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,11888.2,1.10367,0.66819,0.00708,0.69644,0.73638,0.73256,0.47081,1.21984,1.01107,0.01018,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,12049.6,1.10358,0.65817,0.00698,0.7079,0.71581,0.73523,0.47172,1.2207,1.01167,0.0102,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,12194.2,1.09727,0.65288,0.00691,0.70355,0.72801,0.73431,0.47109,1.21986,1.01505,0.01019,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,12326.4,1.08284,0.64212,0.00679,0.70372,0.71777,0.73273,0.47033,1.21942,1.01889,0.01016,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,12461.9,1.08168,0.63902,0.00675,0.69974,0.71951,0.73462,0.47154,1.2195,1.01777,0.01016,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,12597.8,1.08044,0.62726,0.00677,0.69732,0.73753,0.73353,0.47093,1.22007,1.02052,0.01018,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,12732.2,1.06743,0.62706,0.00669,0.69639,0.73574,0.73219,0.47033,1.22046,1.02161,0.01019,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,12867.4,1.06004,0.62191,0.00668,0.69481,0.73403,0.73305,0.47072,1.22098,1.02028,0.0102,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,13002.2,1.06438,0.61995,0.00662,0.75213,0.68054,0.73265,0.47006,1.21984,1.02098,0.01018,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,13137.6,1.0563,0.61417,0.00651,0.69625,0.72717,0.73206,0.46947,1.21973,1.02543,0.01017,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,13272.1,1.05124,0.60943,0.00659,0.70047,0.72573,0.73232,0.4709,1.21892,1.02962,0.01016,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,13406.1,1.03801,0.60177,0.00653,0.72765,0.69715,0.72976,0.46964,1.21984,1.02772,0.01017,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,13540,1.03326,0.59008,0.00643,0.72025,0.71388,0.7303,0.46987,1.22037,1.03003,0.01018,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,13674.7,1.0324,0.59485,0.00647,0.7319,0.70185,0.73061,0.46981,1.21966,1.03168,0.01017,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,13809,1.02284,0.58613,0.00638,0.72946,0.70149,0.73013,0.46956,1.21874,1.03401,0.01016,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
