epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,44110.4,1.14467,1.33341,1.42792,0.74145,0.54072,0.58218,0.28067,1.88957,1.58953,2.06785,0.000113169,0.000113169,0.000113169
87,44692.4,1.14216,1.32652,1.42759,0.82197,0.50667,0.5857,0.28923,1.87364,1.53601,2.03923,0.0001061,0.0001061,0.0001061
88,45240.6,1.13375,1.31013,1.42035,0.81174,0.51791,0.59359,0.28925,1.86033,1.52447,2.04704,9.90318e-05,9.90318e-05,9.90318e-05
89,45798.3,1.13687,1.31257,1.42005,0.78493,0.52925,0.59005,0.29391,1.87026,1.53861,2.04339,9.19632e-05,9.19632e-05,9.19632e-05
90,46356,1.13928,1.32179,1.4245,0.77794,0.52167,0.58682,0.29553,1.87095,1.53135,2.04505,8.48946e-05,8.48946e-05,8.48946e-05
91,46914.8,1.16597,1.23377,1.4363,0.72184,0.54914,0.58851,0.29093,1.87659,1.57253,2.04965,7.7826e-05,7.7826e-05,7.7826e-05
92,47461.4,1.14579,1.1868,1.42357,0.75839,0.5511,0.5877,0.28417,1.878,1.54186,2.05989,7.07574e-05,7.07574e-05,7.07574e-05
93,48021.7,1.14289,1.17705,1.41921,0.79745,0.53652,0.59228,0.29336,1.86091,1.53689,2.03268,6.36888e-05,6.36888e-05,6.36888e-05
94,48584.3,1.14003,1.17492,1.41605,0.75503,0.53812,0.59364,0.28737,1.88,1.52392,2.05776,5.66202e-05,5.66202e-05,5.66202e-05
95,49135.5,1.14206,1.16645,1.42064,0.80863,0.53671,0.60438,0.29535,1.85344,1.50402,2.02983,4.95516e-05,4.95516e-05,4.95516e-05
96,49676.9,1.13095,1.15943,1.41348,0.76821,0.5446,0.59832,0.29234,1.85623,1.50675,2.03402,4.2483e-05,4.2483e-05,4.2483e-05
97,50208.5,1.12425,1.15376,1.40745,0.78375,0.54774,0.60605,0.30236,1.84611,1.48009,2.01469,3.54144e-05,3.54144e-05,3.54144e-05
98,50739.6,1.12587,1.14213,1.40443,0.78885,0.5409,0.59935,0.29685,1.84478,1.48614,2.01736,2.83458e-05,2.83458e-05,2.83458e-05
99,51271.3,1.12286,1.14003,1.40496,0.7984,0.53748,0.60168,0.30029,1.84561,1.48567,2.0243,2.12772e-05,2.12772e-05,2.12772e-05
100,51803.1,1.12063,1.13996,1.40549,0.81123,0.53922,0.60404,0.2975,1.853,1.48367,2.02943,1.42086e-05,1.42086e-05,1.42086e-05
