epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
66,2210.59,0.91824,0.59312,0.00518,0.88363,0.79947,0.85814,0.58027,1.24521,0.65378,0.01127,0.000407694,0.000407694,0.000407694
67,2242.65,0.89935,0.57919,0.00521,0.86997,0.79087,0.86131,0.57537,1.28709,0.69637,0.01196,0.000402982,0.000402982,0.000402982
68,2275.14,0.90803,0.58148,0.00524,0.87418,0.80932,0.86613,0.58981,1.2622,0.63215,0.01119,0.000398269,0.000398269,0.000398269
69,2308.98,0.90216,0.57613,0.00506,0.91419,0.79743,0.86401,0.58629,1.25178,0.67389,0.01084,0.000393557,0.000393557,0.000393557
70,2341.52,0.89799,0.57094,0.00507,0.8859,0.81079,0.86006,0.58567,1.22081,0.67892,0.01042,0.000388844,0.000388844,0.000388844
71,2373.61,0.90351,0.57134,0.00513,0.90772,0.8041,0.87564,0.5851,1.29134,0.63412,0.0117,0.000384132,0.000384132,0.000384132
72,2406.2,0.87873,0.56967,0.00511,0.89308,0.79813,0.87173,0.587,1.22356,0.63674,0.01075,0.00037942,0.00037942,0.00037942
73,2438.11,0.89276,0.56001,0.00501,0.89684,0.78771,0.86414,0.59224,1.2266,0.62983,0.01075,0.000374707,0.000374707,0.000374707
74,2472.68,0.88031,0.5589,0.00491,0.89438,0.81057,0.86738,0.60464,1.18205,0.60707,0.01042,0.000369995,0.000369995,0.000369995
75,2507.44,0.87959,0.54916,0.00484,0.8985,0.81419,0.88058,0.59814,1.2157,0.62618,0.01118,0.000365282,0.000365282,0.000365282
76,2540.12,0.86636,0.54732,0.0049,0.90116,0.82062,0.88646,0.61113,1.20455,0.58969,0.01118,0.00036057,0.00036057,0.00036057
77,2573.89,0.86867,0.54196,0.00486,0.90035,0.80529,0.87412,0.60408,1.22724,0.59429,0.01092,0.000355858,0.000355858,0.000355858
78,2606.63,0.86037,0.5297,0.00481,0.92158,0.79473,0.87756,0.59983,1.21343,0.60444,0.0106,0.000351145,0.000351145,0.000351145
79,2638.9,0.85347,0.53177,0.0047,0.87794,0.8335,0.88043,0.60843,1.18985,0.60216,0.01056,0.000346433,0.000346433,0.000346433
80,2672.36,0.83928,0.51978,0.00473,0.89924,0.81609,0.88746,0.60934,1.23659,0.59809,0.01088,0.00034172,0.00034172,0.00034172
81,2705.05,0.85082,0.52838,0.00475,0.89058,0.8161,0.87805,0.60203,1.21021,0.61061,0.01047,0.000337008,0.000337008,0.000337008
82,2738.58,0.85291,0.51381,0.00461,0.89171,0.8297,0.88535,0.61194,1.17425,0.59072,0.01025,0.000332296,0.000332296,0.000332296
83,2773.17,0.83837,0.5116,0.00463,0.92104,0.78485,0.87109,0.60381,1.19051,0.64393,0.01029,0.000327583,0.000327583,0.000327583
84,2806.88,0.84553,0.52073,0.00458,0.89621,0.82321,0.87787,0.60495,1.19639,0.61435,0.01023,0.000322871,0.000322871,0.000322871
